id	category	title	description	steps	materials	time_mins	level	goal	success	frequency	xp	tags
T001	MOR	Make Your Bed	Start the day by making your bed look neat and tidy.	1. Stand at the foot of your bed|2. Pull the duvet or blankets up toward the pillow|3. Straighten the sides so they hang evenly|4. Fluff and place your pillow neatly|5. Step back and check it looks tidy	none	5	1	Building a morning habit and a sense of order	Your bed looks neat with no duvet hanging on the floor	daily	15	morning,routine,tidiness,independence
T002	MOR	Eat a Real Breakfast	Eat a proper breakfast before school or any activity.	1. Choose something that includes protein or complex carbs — eggs, toast, porridge, yoghurt, cereal|2. Make sure you have a drink — water or milk|3. Sit down and eat without screens|4. When finished, rinse your bowl or plate	cereal or bread or other food, bowl, spoon, drink	10	1	Fuelling your brain and body for the day	You have eaten a full breakfast sitting down	daily	15	morning,nutrition,brain fuel,routine
T003	MOR	Drink a Glass of Water First	Before anything else, drink a full glass of water when you wake up.	1. Go to the kitchen|2. Fill a glass with water|3. Drink all of it before you eat or check your phone|4. Notice how your body feels afterward	glass, water	2	1	Hydration and morning body care	You have drunk a full glass of water before doing anything else	daily	15	morning,hydration,self-care,habits
T004	MOR	Get Dressed Before Screens	Get fully dressed and ready before looking at any screens.	1. When you wake up, go straight to get dressed|2. Put on clean clothes including socks and shoes if needed|3. Check you have everything you need|4. Only then can you check your phone or TV	clothes	5	1	Building self-discipline and a reliable morning sequence	You are fully dressed including shoes before touching any screen	daily	15	morning,routine,self-discipline,screens
T005	MOR	Write Down Your Top 3 Today	Each morning, write down three things you want to do or remember today.	1. Get your notebook or a piece of paper|2. Write today's date at the top|3. Write down three things — one thing you must do, one you want to do, one you are looking forward to|4. Keep the paper somewhere you can see it during the day	notebook or paper, pen or pencil	5	2	Planning, prioritising and setting intentions	You have written three clear things for today in your own words	daily	25	morning,planning,intention,focus
T006	MOR	5-Minute Stretch or Walk	Before sitting down to work or school, do 5 minutes of gentle movement.	1. Find a clear space|2. Roll your shoulders backward 5 times|3. Reach both arms above your head and hold for 5 seconds|4. Do 10 slow neck rolls, 5 each direction|5. March on the spot for 1 minute|6. Touch your toes or reach as far as you can, hold for 10 seconds	none	5	1	Getting your body and brain awake and energised	You have done all five movements without rushing	daily	15	morning,movement,wellbeing,brain activation
T007	MOR	Tidy Your Bedroom in 5 Minutes	Do a quick 5-minute tidy of your bedroom to start the day clear.	1. Set a timer for 5 minutes|2. Put any clothes on the floor either in the laundry or folded away|3. Put books, bags or devices where they belong|4. Clear your desk if you have one|5. Stop when the timer goes, even if not perfect	timer (phone or clock)	5	1	Creating an ordered space that helps your brain feel calm	Clothes are off the floor and things are generally in their right place	daily	15	morning,tidiness,bedroom,habits
T008	SCH	Pack Your School Bag the Night Before	Get your bag fully packed before you go to bed so mornings are calm.	1. Check your timetable or homework diary for tomorrow|2. Find every book, folder or item you need|3. Pack them one by one into your bag|4. Add your packed lunch or lunch money if needed|5. Put your bag by the door so it is ready to grab	school bag, timetable or diary	10	1	Organisation, reducing morning stress, independence	Your bag is fully packed and by the door before bedtime	daily	15	school,organisation,planning,independence
T009	SCH	Check Homework is Complete	Before school, double-check that all homework due today is finished and in your bag.	1. Look at your planner or diary|2. Check every subject due today|3. Find each piece of homework and read it through quickly|4. Put it in your bag or folder|5. If something is not done, tell a trusted adult now rather than later	planner or diary, school bag	5	1	Accountability, honesty and being prepared	You have checked all homework and either it is done or you have told someone it is not	daily	15	school,homework,accountability,preparation
T010	SCH	Sort Your Desk Before You Study	Clear and organise your workspace before starting any school work.	1. Clear everything off your desk|2. Put away anything that does not belong there|3. Get out only what you need for this work|4. Make sure you have a pen, pencil and any books you need|5. Sit down and start	desk or table, pens, books needed	5	1	Creating conditions for focused work	Your desk has only what you need for the task in front of you	as_needed	15	school,focus,organisation,study space
T011	SCH	Prepare Your PE Kit	Check and prepare your PE kit the night before a PE day.	1. Check your timetable to confirm you have PE tomorrow|2. Find your PE shorts, top and trainers|3. Make sure they are clean enough|4. Pack them in a bag inside or alongside your school bag|5. Check if you need anything else like a water bottle or tie-back for hair	PE kit: shorts, top, trainers	5	1	Preparation and avoiding last-minute panic	PE kit is packed and ready the evening before PE day	weekly	15	school,PE,preparation,organisation
T012	SCH	Write Down All Homework Given Today	At the end of the school day, write down every piece of homework set.	1. Before leaving school, open your planner or notebook|2. Write the subject and the task for each piece of homework|3. Write the date it is due|4. Check the list makes sense and you understand each task|5. Bring it home	planner or notebook, pen	5	1	Self-management, never forgetting homework	Every piece of homework set today is written down with its due date	daily	15	school,homework,planning,self-management
T013	FOC	Pomodoro Study Session	Study using timed focused blocks with short breaks in between.	1. Choose one task or subject to work on|2. Set a timer for 20 minutes|3. Work only on that task until the timer goes — no phone, no other tabs|4. When the timer goes, take a 5-minute break (walk, stretch, drink water)|5. Repeat two or three times	timer, books or device for work, water	45	2	Building focused work habits and avoiding burnout	You completed 2–3 work blocks without picking up your phone during them	as_needed	25	focus,study,homework,pomodoro,concentration
T014	FOC	Phone-Free Homework Block	Do all your homework with your phone in another room.	1. Collect everything you need for homework|2. Put your phone in another room or give it to a parent|3. Work through your homework without checking it|4. When homework is done, get your phone back|5. Notice how differently it felt	homework, books, pen, nothing else	30	2	Building deep focus and reducing dependency on phones	All homework is complete and you did not check your phone once during the session	daily	25	focus,phones,homework,discipline,concentration
T015	FOC	One-Thing-at-a-Time Rule	Choose one single task and work on it until it is finished before starting anything else.	1. Look at your list of things to do|2. Choose the most important one|3. Work on ONLY that task — do not switch|4. When it is fully finished, cross it off|5. Only then choose the next task	notebook or list	varies	2	Training single-task focus	You completed one full task without switching to anything else partway through	as_needed	25	focus,single-task,discipline,habits
T016	FOC	Read for 15 Minutes	Read a book — not a screen — for 15 minutes without stopping.	1. Choose a physical book or magazine|2. Find a comfortable and quiet place to sit|3. Set a timer for 15 minutes|4. Read continuously until the timer goes|5. If your mind wanders, gently bring it back to the page	physical book or magazine, timer	15	1	Building reading stamina and focus	You read for the full 15 minutes without stopping or switching to a screen	daily	15	focus,reading,stamina,habits
T017	FOC	Plan Tomorrow the Night Before	Spend 5 minutes planning what you will do tomorrow so you are not starting from scratch in the morning.	1. Get a notebook or piece of paper|2. Write tomorrow's date|3. Write any fixed events like school, activities|4. Write 2–3 things you want to get done|5. Put the list somewhere you will see it in the morning	notebook, pen	5	2	Evening planning, reducing morning overwhelm	You have a written plan for tomorrow with at least 2 specific things on it	daily	25	focus,planning,evening,habits
T018	FOC	Distraction Dump	Before a study session, write down every distracting thought in your head so your brain can let go of it.	1. Get a piece of paper|2. Set a timer for 3 minutes|3. Write down every thought that is in your head — worries, things you want to do, things you remembered|4. When the timer goes, fold the paper and put it aside|5. Now start your work	paper, pen, timer	5	2	Clearing mental clutter before focused work	Your mind feels clearer and you were able to start working more easily	as_needed	25	focus,distraction,study,mental clarity
T019	FEEL	Feelings Check-In	Stop and ask yourself how you are feeling right now and name it.	1. Stop what you are doing and take one slow breath|2. Ask yourself: what am I feeling right now?|3. Try to name the feeling — not just good or bad but a real emotion word|4. Ask yourself: where do I feel it in my body?|5. Write it down or just notice it without judging it	none — or journal if you have one	5	2	Emotional literacy and self-awareness	You have named at least one specific feeling and noticed where it lives in your body	daily	25	feelings,self-awareness,emotional literacy,check-in
T020	FEEL	Box Breathing	Use box breathing to calm your body and mind when you feel stressed or overwhelmed.	1. Sit up straight and close your eyes if comfortable|2. Breathe in slowly through your nose for 4 counts|3. Hold your breath for 4 counts|4. Breathe out slowly through your mouth for 4 counts|5. Hold empty for 4 counts|6. Repeat 4 times	none	5	1	Activating calm, managing anxiety or stress	You completed 4 full rounds of box breathing and your body feels slightly calmer	as_needed	15	feelings,breathing,calm,anxiety,regulation
T021	FEEL	Write in a Feelings Journal	Write freely about how you are feeling without worrying about spelling or anyone reading it.	1. Get a notebook|2. Write today's date|3. Write for at least 5 minutes about how you are feeling and why|4. Do not correct yourself — just write whatever comes|5. When done, close the journal. You do not need to read it back	notebook, pen	10	2	Processing emotions, building self-awareness	You wrote for at least 5 full minutes without stopping	daily	25	feelings,journaling,emotional processing,self-awareness
T022	FEEL	Do Something Kind Without Being Asked	Choose one kind action today and do it without anyone asking you to.	1. Think of one person in your life who might appreciate something|2. Choose a small action — make them a drink, tidy something for them, write a note, share something|3. Do it without telling everyone about it|4. Notice how you feel afterward	varies — depends on the action	10	2	Empathy, generosity and proactive kindness	You did one kind action completely unprompted and without expecting anything back	daily	25	feelings,kindness,empathy,character
T023	FEEL	Worry Time	Set aside 10 minutes just for worrying so your worries do not follow you all day.	1. Choose a specific time — not too close to bedtime|2. Set a timer for 10 minutes|3. Write down every worry on paper — all of it, big and small|4. For each worry, write: is there something I can do? If yes, write one small step|5. When the timer goes, close the notebook. Worry time is over until tomorrow	notebook, pen, timer	10	3	Managing anxiety, separating worry from productive thinking	You spent a timed 10 minutes on worries and identified at least one actionable step	weekly	40	feelings,worry,anxiety,problem-solving
T024	FEEL	5-4-3-2-1 Grounding	Use your five senses to pull your attention into the present moment when you feel overwhelmed.	1. Stop and sit somewhere comfortable|2. Name 5 things you can SEE right now|3. Name 4 things you can physically TOUCH|4. Name 3 things you can HEAR|5. Name 2 things you can SMELL|6. Name 1 thing you can TASTE	none	5	1	Grounding, managing overwhelm, using senses to regulate	You worked through all five senses without rushing	as_needed	15	feelings,grounding,regulation,anxiety,senses
T025	FEEL	Self-Compassion Moment	Talk to yourself the way you would talk to a good friend who is having a hard time.	1. Think of something that is bothering you right now|2. Imagine your best friend told you the same thing — what would you say to them?|3. Write or say those same words to yourself|4. Notice the difference between how you talk to a friend and how you talk to yourself	none — or journal	5	3	Building self-compassion and reducing harsh self-talk	You wrote or said something genuinely kind to yourself that you would say to a friend	as_needed	40	feelings,self-compassion,self-talk,wellbeing
T026	SOC	Send a Kindness Message	Send a message to someone to let them know you are thinking of them.	1. Think of someone you have not spoken to in a while or who might need cheering up|2. Write a genuine message — not just hey|3. Include something specific, like why you thought of them or a memory|4. Send it without expecting a reply	phone or paper for a letter	5	1	Staying connected, showing people they matter	You sent a genuine message with at least one specific thing in it	weekly	15	social,kindness,connection,relationships
T027	SOC	Introduce Yourself to Someone New	Practise introducing yourself to someone you do not know well.	1. Choose someone at school or in your community you have not spoken to before|2. Make eye contact and smile|3. Say hello and your name|4. Ask them one question to get them talking — What year are you in? How long have you been coming here?|5. Listen properly to their answer	none	5	2	Building confidence and social skills	You introduced yourself and had even a short real conversation	as_needed	25	social,confidence,making friends,communication
T028	SOC	Write a Thank-You Note	Write a handwritten thank-you note to someone who has helped you.	1. Think of someone who has done something kind or helpful for you recently|2. Get paper and a pen|3. Write their name, say thank you and specifically say what they did and why it mattered|4. Sign your name|5. Give it to them or leave it somewhere they will find it	paper, pen	10	2	Gratitude, manners in action, written communication	You wrote a genuine thank-you note with a specific reason and gave it to them	weekly	25	social,gratitude,manners,writing
T029	SOC	Active Listening Practice	Have a conversation where your only job is to listen — no advice, no your-turn stories, just listening.	1. Ask someone how their day was or how they are feeling|2. When they talk, give them your full attention — no phone, no planning what you will say|3. Ask one follow-up question based on what they said|4. Do not share your own story unless they ask|5. When the conversation ends, notice how they seem	none	10	3	Deep listening, empathy, relationship building	You had a full conversation where you asked at least one real follow-up question and did not redirect to yourself	as_needed	40	social,listening,empathy,relationships
T030	SOC	Apologise Properly	Practise giving a genuine apology for something you did that affected someone else.	1. Think of something you did recently that might have upset or inconvenienced someone|2. Do not wait for them to bring it up|3. Find a quiet moment|4. Say: I am sorry for [specific thing]. I know it must have felt [how they might have felt]. I will try to [what you will do differently]|5. Do not follow the apology with a but	none	5	3	Accountability, empathy, repairing relationships	You gave an apology that included a specific action, an acknowledgement of feeling, and no excuses	as_needed	40	social,apology,accountability,relationships
T031	SOC	Hold the Door, Smile and Say Thanks	Every time someone does something small for you today, say thank you with eye contact.	1. Today, notice every time someone does something for you — holds a door, lets you past, gives you something|2. Each time, make eye contact and say thank you clearly|3. Count how many times you do this|4. At the end of the day, notice how it felt	none	varies	1	Building the habit of noticing and appreciating small acts	You said a clear, genuine thank you at least 5 times during the day	daily	15	social,manners,gratitude,habits
T032	SOC	Help With One Household Job	Choose one household job and do it completely without being asked.	1. Look around your home and find something that needs doing — dishes, tidying, vacuuming, putting things away|2. Do it fully, not halfway|3. Do not tell everyone or wait for thanks — just do it|4. Notice how the space looks when it is done	varies depending on task	15	2	Contribution, responsibility, being part of a team	The job is completely finished without being asked and without seeking praise	weekly	25	social,helping,responsibility,home
T033	EVE	Prepare Tomorrow's Outfit	Choose and set out the clothes you will wear tomorrow before you go to bed.	1. Think about what you are doing tomorrow — school, sport, casual|2. Choose a full outfit including socks and underwear|3. Put it out on a chair or the end of your bed|4. Check it is clean and nothing needs washing or ironing	clothes	3	1	Evening planning, reducing morning chaos	A complete outfit including all items is laid out and ready for tomorrow	daily	15	evening,preparation,morning,routine
T034	EVE	Screen-Free Wind-Down	Spend 30 minutes before bed without any screens.	1. At your chosen wind-down time, put your phone or device in another room or give it to a parent|2. Choose a calm activity — reading, colouring, stretching, writing, quiet music|3. Do this for 30 minutes|4. Notice how quickly you feel sleepy compared to nights when you stay on screens	physical book, notebook, or nothing — no phone	30	2	Sleep hygiene, helping your brain switch off	You spent 30 minutes before bed doing something calm with no screens	daily	25	evening,sleep,screens,wind-down,habits
T035	EVE	Tidy Your Study Space for Tomorrow	Clear your desk or work area at the end of the day so you can start fresh tomorrow.	1. Put away all books and stationery|2. Clear any rubbish and put it in the bin|3. Straighten any piles|4. Put your school bag in the right place|5. Take one moment to look at it — a clear space for tomorrow	none	5	1	Creating good end-of-day habits and a calm environment	Your desk or work area is clear and organised for tomorrow	daily	15	evening,organisation,study space,routine
T036	EVE	Gratitude List	Before sleep, write down three things from today that you are grateful for.	1. Get your journal or a piece of paper|2. Write today's date|3. Write three things that happened today that you feel good about, however small|4. They do not have to be big — a nice conversation, food you enjoyed, something that made you laugh|5. Read them back once before putting the light out	notebook or paper, pen	5	2	Gratitude, positive thinking, ending the day well	You have written three specific things — not just generic words like family	daily	25	evening,gratitude,wellbeing,reflection
T037	EVE	Check Tomorrow's Timetable	Look at what you have on tomorrow so there are no surprises in the morning.	1. Open your school planner, diary or check with a parent|2. Look at tomorrow's lessons or activities|3. Check if there is anything you need to prepare — PE kit, ingredients, a specific book|4. Sort anything that needs sorting now	planner or diary	5	1	Preparation, reducing morning panic	You know exactly what is on tomorrow and anything that needs preparing is sorted	daily	15	evening,planning,preparation,school
T038	EVE	Phone Charging Spot Outside Bedroom	Charge your phone or device somewhere other than your bedroom tonight.	1. Tell yourself this is the plan before you get tired and find it harder|2. Plug your phone in to charge in the kitchen, hallway or another room|3. Do not bring it back into your bedroom|4. If you use your phone as an alarm, use a separate alarm clock or set your alarm before leaving it to charge	phone charger, separate alarm clock if needed	2	2	Sleep hygiene, better quality rest, reducing morning temptation	Your phone charged outside your bedroom and you fell asleep without it	daily	25	evening,sleep,screens,habits,bedroom
T039	EVE	Full Body Relaxation Scan	Do a head-to-toe relaxation exercise to help your body settle before sleep.	1. Lie down in bed|2. Starting with your feet, squeeze all the muscles in your feet tightly for 3 seconds, then let go|3. Move up to your calves, thighs, stomach, hands, shoulders and finally your face|4. Each time, squeeze for 3 seconds then completely let go|5. When you reach your face, take 3 slow breaths	none	10	2	Deep physical relaxation and sleep preparation	Your whole body feels noticeably heavier and more relaxed than when you started	daily	25	evening,sleep,relaxation,body,wellbeing
T040	EVE	Write One Thing You Learned Today	Before bed, write one thing you genuinely learned or noticed today.	1. Get your journal|2. Think back over the day|3. Write one thing that you did not know before today — a fact, something about yourself, something about someone else|4. Write why it matters or what you will do with it	journal, pen	5	2	Reflection, curiosity, building a learning habit	You have written one specific thing you learned and at least one sentence about why it matters	daily	25	evening,reflection,learning,growth
T041	ORG	Declutter One Small Area	Choose one drawer, shelf or surface and sort through it properly.	1. Choose ONE small area — not a whole room|2. Take everything out|3. Make three piles: keep, throw away, belongs somewhere else|4. Throw the rubbish pile away|5. Put the somewhere-else things where they belong|6. Put the keep things back neatly	bin bag or box	15	2	Organisation, managing belongings, decision-making	The chosen area is clear, tidy and you know what is in it	weekly	25	organisation,declutter,tidiness,decision-making
T042	ORG	Create a Weekly Routine Chart	Make a chart of your regular weekly tasks and activities.	1. Get a piece of paper or a notebook|2. Write the days of the week across the top|3. For each day, write any fixed events: school, activities, clubs|4. Add recurring tasks: homework, chores, reading|5. Put the chart somewhere visible in your room	paper, ruler, pen or pencil	20	3	Planning, self-management, knowing what your week looks like	You have a completed weekly chart that is accurate for your current week	weekly	40	organisation,planning,weekly routine,self-management
T043	ORG	Label Your School Stuff	Label all your school equipment, books and bags with your name.	1. Collect all your school things|2. Write your name clearly on every book, folder and loose item|3. Put a name label or sticker on your bag|4. Make sure your PE kit has your name on it somewhere|5. Check if your water bottle is labelled	name stickers or a permanent marker, school things	10	1	Organisation and responsibility for belongings	Everything you take to school has your name on it	as_needed	15	organisation,school,belongings,responsibility
T044	ORG	Set Up a Homework Spot	Create a dedicated place where you always do homework.	1. Choose a space — a desk, kitchen table or quiet area|2. Make sure it has good light|3. Clear it of anything that is not for work|4. Add what you need: pens, ruler, notebook, somewhere to put your water|5. Use this spot every day for homework	desk or table, lamp if needed, stationery	20	2	Creating a physical environment that supports focus	You have set up a consistent homework spot you used for a full session today	as_needed	25	organisation,study space,focus,habits
T045	ORG	Sort Your School Bag	Empty and reorganise your school bag so you know exactly what is in it.	1. Take everything out of your bag|2. Throw away any rubbish|3. Put anything that does not belong in a bag back where it lives|4. Check what school things should be in there|5. Pack it back neatly with the things you need most accessible	school bag	10	1	Organisation and independence	Your bag is clean, tidy and everything in it is meant to be there	weekly	15	organisation,school bag,tidiness,independence
T046	ORG	Digital Tidy-Up	Organise the files and photos on your device.	1. Open your files or photos app|2. Delete anything you no longer need|3. Create folders for different types of things — school, personal, photos|4. Move files into the right folder|5. Take a screenshot of what it looks like when organised	device (tablet or computer)	15	2	Digital organisation and good habits around technology	Your device has clearly labelled folders and no loose files on the main screen	weekly	25	organisation,digital,technology,habits
T047	ORG	Set Up a Morning Checklist	Create a personal morning checklist to stick to your bedroom door.	1. Think about everything you need to do every morning|2. Write each step in order: wake up, drink water, wash face, get dressed, eat breakfast, pack bag, leave on time|3. Decorate it if you like|4. Stick it somewhere visible — door, mirror, bedside	paper, pen, tape or sticky tack	15	2	Morning routine, self-management, independence	You have a finished morning checklist displayed where you will see it	as_needed	25	organisation,morning,checklist,self-management
